model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.1170365437281468,0.43348215625051345,0.18031280246383774,0.3393181939416444,0.41979085274411854,0.8709058451025109,0.8505804331679093,0.8605220568807501
base,0.07393117157655867,0.3258911634872853,0.12494964623797544,0.24585428102985735,0.3113342066995466,0.8046699627449638,0.8214775465036693,0.8125619841249365
