model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.1642079695059894,0.5425656626376084,0.2653464253670702,0.40119496802727994,0.5317265881939917,0.8951608180999756,0.8802280369557832,0.8875705304898713
base,0.08483578329401652,0.3496994123242254,0.14495186752217354,0.2693644014487526,0.3393432034617224,0.8291406675388938,0.8398464491492823,0.8341126981534456
