model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.16662695402550726,0.5283928244261298,0.25837190832202184,0.39490050376809843,0.5204041426923244,0.8934182392923455,0.8804734226904417,0.8868405100546385
base,0.07393117157655867,0.3260536547490488,0.12480531501138936,0.24624080862679976,0.31203344863670085,0.8046699611764205,0.8214775474447953,0.812561981928976
