model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.15995190281974694,0.5170262252741329,0.2434967031948007,0.3714449161304938,0.5073420834698894,0.8747614512318059,0.8804742954279247,0.8775342326415213
base,0.05284061336641995,0.26446871521334886,0.08703998606468445,0.19869190569733586,0.250721886352559,0.789387941987891,0.8119933915765662,0.8001288304203436
