model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.16016643918926188,0.5394606261624588,0.2629185104815279,0.3997472517545725,0.5292389036197895,0.8944174961039895,0.8797031223773957,0.8869343923894982
base,0.08483578329401652,0.35064329273466055,0.1444632969039599,0.2697026741130634,0.3394001886478665,0.8291406706759804,0.8398464488355737,0.8341126990945715
