model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.15927438915933895,0.5145264695832099,0.24083888934732506,0.3692616374605956,0.5054288433289514,0.8743065347796992,0.880257291856565,0.8771972442928113
base,0.05284061336641995,0.26428624251570243,0.08728041326307484,0.1991119179549946,0.2512389908509186,0.7893879435564343,0.8119933878120623,0.8001288304203436
