model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.13581276410983778,0.46565301060914405,0.204665608186218,0.3457904745178565,0.4544362453907823,0.8738402586234243,0.859140387961739,0.8663060950605492
base,0.05729915155789949,0.35536757901234906,0.10989110490319656,0.2517616063419643,0.3458509159801041,0.8325086452459034,0.8275674308601179,0.8299238659833607
