model,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
fine-tuned,0.169819076614304,0.5471467243421124,0.2818231527918713,0.41304436121014754,0.5390063956634022,0.8983648102534445,0.8814724338682074,0.889774759819633
base,0.07393117157655867,0.3259236784001929,0.12516172302277212,0.24611569334009237,0.3119326563983308,0.8046699621175465,0.8214775483859212,0.8125619834975193
